"team_long_name","buildup_play","chance_creation","defense","No_of_scored_goals"
"Stade de Reims",134,158,127,168
"Stade Rennais FC",167,165,141,367
"Rio Ave FC",157,177,153,248
"Roma",142,191,141,530
"Ross County FC",153,153,123,192
"Ruch Chorzów",133,176,136,280
"AS Saint-Étienne",165,164,148,371
"Sampdoria",130,130,154,318
"Sassuolo",182,169,138,141
"SC Bastia",174,156,147,165
"SC Heerenveen",150,152,138,470
"FC Schalke 04",143,162,170,426
"Sevilla FC",159,165,149,478
"FC Sion",155,165,146,371
"Śląsk Wrocław",140,157,139,318
"FC Sochaux-Montbéliard",164,176,146,246
"Southampton",129,126,159,216
"Sporting Charleroi",160,146,136,201
"Sporting CP",178,147,174,411
"Real Sporting de Gijón",153,159,140,200
"Napoli",160,189,157,514
"FC St. Gallen",146,115,128,276
"St. Mirren",124,164,166,257
"FC St. Pauli",160,153,140,35
"St. Johnstone FC",162,136,140,308
"Standard de Liège",161,173,151,341
"Stoke City",138,159,132,322
"Sunderland",137,164,141,333
"Swansea City",131,125,120,233
"CD Tenerife",163,161,171,40
"FC Thun",152,166,145,279
"Torino",174,159,137,241
"Tottenham Hotspur",133,145,173,481
"Toulouse FC",158,122,130,339
"ES Troyes AC",148,147,137,71
"FC Twente",131,140,140,509
"Udinese",185,189,154,415
"Valencia CF",116,146,147,484
"Valenciennes FC",160,174,144,256
"Real Valladolid",148,147,134,170
"Hellas Verona",124,148,158,145
"VfB Stuttgart",155,172,117,415
"Villarreal CF",126,143,139,364
"Vitesse",145,161,180,423
"Vitória Guimarães",131,173,141,300
"Vitória Setúbal",149,158,132,238
"Waasland-Beveren",132,140,94,105
"Watford",145,141,135,40
"SV Werder Bremen",174,192,183,423
"West Bromwich Albion",145,163,130,305
"West Ham United",171,170,108,326
"KVC Westerlo",148,144,146,217
"Wigan Athletic",144,151,154,200
"Willem II",150,153,135,222
"Wisła Kraków",119,101,157,332
"VfL Wolfsburg",170,185,167,463
"Wolverhampton Wanderers",136,150,150,118
"BSC Young Boys",172,151,128,529
"Real Zaragoza",154,165,140,159
"Zawisza Bydgoszcz",145,147,143,75
"SV Zulte-Waregem",147,131,139,306
"DSC Arminia Bielefeld",166,159,138,29
"FC Energie Cottbus",126,175,154,30
"Heart of Midlothian",168,176,158,317
"Hércules Club de Fútbol",154,178,160,36
"Hibernian",148,139,124,259
"FC Lausanne-Sports",141,164,145,99
"Widzew Łódź",190,184,139,50
"RAEC Mons",160,168,138,129
"N.E.C.",150,156,141,310
"Novara",179,168,138,34
"S.C. Olhanense",147,134,105,138
"Oud-Heverlee Leuven",153,157,137,126
"Reggio Calabria",163,184,138,30
"RKC Waalwijk",142,133,99,153
"Siena",144,183,144,149
"Roda JC Kerkrade",133,146,118,343
"Widzew Łódź",190,184,139,122
"Zagłębie Lubin",133,149,148,207
"Beerschot AC",86,151,158,174
"SC Beira Mar",87,165,150,93
"Le Mans FC",105,167,142,79
"P. Warszawa",79,131,139,184
"Servette FC",99,164,143,77
"VVV-Venlo",93,164,120,152
"Xerez Club Deportivo",104,138,153,38
"US Boulogne Cote D'Opale",86,154,155,31
"De Graafschap",78,150,136,130
"Dunfermline Athletic",115,168,148,40
"Lecce",95,135,140,121
"Sint-Truidense VV",107,154,113,115
"União de Leiria, SAD",72,148,154,85
"Neuchâtel Xamax",99,121,116,171
"Arka Gdynia",83,147,140,77
"AC Bellinzona",101,148,138,128
"KAS Eupen",105,160,155,28
"Polonia Bytom",84,122,162,245
"Grenoble Foot 38",100,150,140,55
"Naval 1° de Maio",115,135,121,71
"Polonia Bytom",84,122,162,88
"Falkirk",140,200,200,68
"Leixões SC",60,165,90,55
"Odra Wodzisław",75,155,205,50
"KSV Roeselare",125,125,205,62
"Sparta Rotterdam",75,140,90,76
