"player_name","overall_rating","gk_rating","No_of_Presences","No_of_leagues"
"Karl Henry",71,61,117,1
"Danny Higginbotham",65,52,60,1
"Emmerson Boyce",61,40,129,1
"Colin McMenamin",61,46,9,1
"David Stockdale",72,364,35,1
"Alex Bruce",68,54,35,1
"Rob Hulse",65,47,1,1
"Sean Murdoch",59,291,4,1
"Wesley Hoolahan",76,63,86,1
"Dorus De Vries",71,360,4,1
"Kelvin Davis",71,342,18,1
"Mounir El Hamdaoui",73,34,71,3
"Jeremy Clement",76,64,202,1
"Brian McLean",57,52,77,1
"Steven Hammell",64,64,194,1
"Rory Loy",61,67,15,1
"Zurab Khizanishvili",67,58,2,1
"Mark Howard",64,318,28,1
"Simon Francis",72,48,38,1
"Glenn Murray",72,62,20,1
"Colin Healy",62,47,12,1
"Graham Barrett",58,52,6,1
"Rory Boulding",59,53,4,1
"Franck Queudrue",63,49,14,2
"Fabrice Muamba",76,64,115,1
"Richard Offiong",59,48,18,1
"Julio Arca",65,52,14,1
"Ian Evatt",65,39,35,1
"Jay Tabb",63,52,12,1
"Jose Saez",67,50,60,1
"Guillaume Rippert",62,60,9,1
"Hernan Crespo",76,60,32,1
"Andy Dowie",61,39,29,1
"Mauricio Pinilla",76,20,91,1
"John Baird",58,43,30,1
"Paul McGowan",67,73,170,1
"Per Mertesacker",83,50,233,2
"Frank Fahrenhorst",67,59,13,1
"Afonso Alves,24",78,128,23,1
"Franco Miranda,22",65,148,15,1
"Emanuele Belardi",67,329,7,1
"Luke Wilkshire",70,57,16,1
"Amdy Faye",69,144,18,1
"Djimi Traore",64,53,39,1
"Pedro Munitis",74,62,98,1
"Simone Barone",67,41,15,1
"Marco Marchionni",69,49,110,1
"Antonio Mirante",78,384,232,1
"Merouane Zemmama",67,58,16,1
"Roland Linz",64,54,6,2
"Gabri",60,43,30,2
"Gheorghe Ogararu",66,43,26,1
"Uwe Huenemeier",73,57,33,1
"Jose Holebas",77,71,32,2
"Kenneth Perez",75,142,36,1
"Zlatan Ibrahimovic",89,59,215,3
"Steven MacLean",66,53,104,1
"Gary Warren",66,60,109,1
"Martin Stocklasa",61,42,25,1
"Gary Fraser",62,50,33,1
"Dominik Schmidt",67,48,7,1
"Daniel Brueckner",68,48,23,1
"Albert Bunjaku",67,59,64,2
"Fin Bartels",74,51,72,1
"Benedikt Pliquett",63,310,5,1
"Carsten Rothenbach",59,42,13,1
"Charles Takyi",64,46,19,1
"Florian Bruns",66,63,11,1
"Rene Mihelic",67,49,15,1
"Ken Kallaste",60,47,3,1
"Gary Hooper",74,57,108,2
"Tomasz Kuszczak",71,349,16,1
"Jonathan Tuffey",60,299,6,1
"Scott Boyd",61,60,86,1
"Steven Anderson",67,50,166,1
"Scott Robertson",61,62,103,1
"David Carney",64,53,6,2
"Christian Lell",72,56,69,2
"Clemens Fritz",74,58,199,1
"Mohamed Zidan",75,38,46,1
"Christian Vander",64,317,3,1
"Boubacar Sanogo",69,40,27,2
"Halil Altintop",75,52,143,1
"Matthias Abel",69,44,37,1
"Niko Bungert",76,54,130,1
"Karim Haggui",71,57,107,1
"Thorben Marx",69,48,103,1
"Oliver Schroeder",63,47,7,1
"Vaclav Sverkos",74,58,36,1
"Pascal Bieler",67,55,6,1
"Sejad Salihovic",76,40,137,1
"Steven Pienaar",77,59,149,1
"Dennis Gentenaar",65,322,37,1
"Cedric van der Gun",67,53,44,1
"Gerald Sibon",66,44,22,1
"Marco Streller",71,52,157,1
"Christopher Heimeroth",67,330,22,1
"Thomas Broich",71,63,6,1
"Du-Ri Cha",72,58,44,2
"Markus Feulner",73,53,94,1
"Ralph Gunesch",66,60,20,1
"Chadli Amri",65,44,7,1
"Erik Jendrisek",66,54,43,2
"Christoph Dabrowski",67,55,49,1
"Marc Ziegler",70,345,6,1
"Markus Bollmann",61,48,20,1
"Marcel Ndjeng",68,71,40,1
"Dennis Eilhoff",69,342,32,1
"Massimiliano Porcello",66,54,7,1
"Michael Fink",66,54,18,1
"Albert Streit",70,50,3,1
"Isaac Boakye",69,58,4,1
"Jacek Krzynowek",72,146,12,1
"Uwe Moehrle",66,61,7,1
"Maik Franz",69,55,63,1
"Vedad Ibisevic",77,71,174,1
"Jeffrey Leiwakabessy",63,42,43,1
"Matthias Lehmann",75,66,96,1
"Mariusz Kukielka,24",71,146,15,1
"Vlad Munteanu",64,58,8,1
"Stiven Rivic",65,37,13,1
"Jiayi Shao",67,58,3,1
"Valter Birsa",75,21,139,2
"Jeremie Brechet",69,54,108,2
"Patrick Ebert",75,52,91,2
"Tamas Hajnal",69,39,85,1
"Chinedu Ede",67,70,25,2
"Serdar Tasci",79,60,134,1
"Benedikt Fernandez",67,326,3,1
"Fernando Belluschi",76,52,44,2
"Assani Lukimya-Mulongoti",73,61,63,1
"Sascha Burchert",66,328,3,1
"Jerome Boateng",87,45,168,2
"Manuel Schmiedebach",75,62,151,1
"Olcay Sahan",75,49,23,1
"Konstantinos Mitroglou",79,53,17,2
"Wayne Hennessey",74,380,100,1
"David James",65,330,61,1
"David Proctor",60,53,26,1
"Shelton Martis",64,46,6,1
"Kevin Kratz",68,50,12,1
"Jens Langeneke",70,53,16,1
"Norman Theuerkauf",68,50,26,1
"Manuel Salz",63,315,3,1
"Scott Carson",72,358,58,1
"Robert Green",76,370,152,1
"Mesut Oezil",88,50,208,3
"Mario Vrancic",71,46,35,1
"Tobias Levels",70,58,95,1
"Jahmir Hyka",67,51,74,2
"Mats Hummels",86,42,204,1
"Srdjan Lakic",71,52,58,1
"Patrick Paauwe",70,38,49,2
"Diego Biseswar",72,56,42,1
"Kristof Imschoot",63,139,1,1
"Julien Faubert",71,51,90,3
"Miso Brecko",70,55,129,1
"Stephane Dalmat",72,60,80,1
"Patrick Mtiliga",68,46,34,2
"Nicklas Bendtner",74,52,70,3
"Peter Loevenkrands",66,54,28,1
"Thorsten Kirschbaum",65,325,10,2
"Zsolt Low",68,45,15,1
"Benjamin Kessel",70,62,19,1
"Sascha Kotysch",65,62,37,1
"Zdenek Kroca",61,43,8,1
"Gaetan Krebs",66,72,3,1
"Marcel Heller",74,63,38,1
"Steffen Wohlfarth",62,40,5,1
"Paul Paton",62,59,64,1
"Ryan Stevenson",65,54,118,1
"Yaya Toure",85,53,212,2
"Andreas Isaksson",71,352,95,1
"Jerzy Dudek",72,353,1,1
"Marek Saganowski",65,58,17,1
"Pawel Golanski",62,61,29,1
"Julian Schuster",70,51,134,1
"Adam Szalai",74,57,94,1
"Tobias Weis",70,61,74,1
"Kyle Lafferty",70,51,72,2
"Klaas Jan Huntelaar",81,45,173,3
"Alain Rochat",70,48,95,1
"Phil Bardsley",72,45,162,1
"Marko Pantelic",73,33,38,2
"Danko Lazovic",73,53,23,1
"Gary McSheffrey",60,50,1,1
"Nikolce Noveski",74,56,160,1
"Carl Hoefkens",66,45,107,2
"Bram Verbist",66,327,80,1
"Cephas Chimedza",67,52,5,1
"Igor Lolo",66,49,25,1
"Jonas De Roeck",64,57,18,2
"Jurgen Cavens",60,53,12,1
"Kris De Wree",63,49,17,2
"Kurt van Dooren",65,54,17,1
"Luciano",66,328,85,1
"Pieterjan Monteyne",65,63,126,1
"Daniel Cruz",65,43,30,1
"Hernan Losada",69,42,95,2
"Justice Wamfor",64,41,36,1
"Kenny Steppe",66,327,21,2
"Kristof Maes",58,290,1,1
"Thomas Kraft",76,362,116,1
"Sandro Wagner",74,48,53,1
"Dominic Maroh",75,42,98,1
"Anthony Portier",63,49,35,1
"Dieter Dekelver",64,43,28,1
"Igor Gjuzelov",61,42,7,1
"Mike Frantz",71,57,94,1
"Christophe Grondin",66,59,17,1
"Denis Viane",64,40,40,1
"Mahir Saglik",68,66,4,1
"Frederik Boi",62,46,61,1
"Stijn De Smet",68,58,60,1
"Tom De Sutter",71,51,55,1
"Johannes Flum",73,61,93,1
"Steve Colpaert",70,51,89,1
"Arnaud Sutchuin Djoum",66,56,78,3
"Julien Gorius",72,45,126,1
"Michael Cordier",63,316,1,1
"Zola Matumona",67,50,41,1
"Dirk Kuyt",77,48,150,2
"Nwankwo Kanu",64,39,8,1
"Henrique Hilario",70,342,5,1
"Lee Martin",67,57,1,1
"Sascha Dum",62,61,2,1
"Nando Rafael",67,53,9,1
"Collin Benjamin",68,56,13,1
"Lee Johnson",63,53,14,1
"Steve Morison",67,49,25,1
"Mark Noble",77,54,194,1
"Sigourney Bandjar",64,50,31,1
"Luigi Bruins",69,50,80,2
"Ronald Graafland",62,313,1,1
"Dustley Mulder",65,128,28,1
"Andwele Slory",62,56,14,1
"Jorg van Nieuwenhuijzen",61,305,1,1
"Ard van Peppen",67,38,119,1
"Michel Vorm",80,398,150,2
"Erik Pieters",75,61,168,2
"Ramon Leeuwin",72,40,110,1
"Gregoor van Dijk",71,141,21,1
"Michael Lamey",63,37,40,2
"Tom de Mul",70,47,4,2
"Gino Coutinho",68,338,148,1
"Rihairo Meulens",63,41,6,1
"Civard Sprockel",65,54,34,1
"Bram van Polen",71,57,113,1
"Piet Velthuizen",72,368,140,2
"Vito Mannone",74,365,70,1
"Adam Lallana",80,54,108,1
"Scott Arfield",71,64,76,2
"Geoffrey Dernis",65,53,58,1
"Ilan",70,41,74,2
"Derek Lyle",60,41,9,1
"Adil Chihi",68,42,30,1
"Mahamadou Samassa",72,356,33,2
"Franz Burgmeier",58,58,25,1
"Virgile Reset",65,44,2,1
"Mahamadou Diarra",75,54,31,3
"Milan Jovanovic",74,58,70,2
"John Pantsil",71,53,71,1
"Gonzalo Bergessio",69,37,132,2
"Calum Davenport",70,127,7,1
"Abdoulaye Meite",65,54,47,2
"David Fernandez",63,129,31,1
"Haavard Nordtveit",78,54,138,1
"Keith Lasley",66,49,205,1
"Marius Zaliukas",67,45,124,1
"Mohamadou Idrissou",72,43,55,1
"Marcel Schaefer",75,53,177,1
"Daniel Baier",79,41,162,1
"Nemanja Vucicevic",70,136,20,1
"Mathias Schober",68,333,3,1
"Tim Sebastian",69,53,11,1
"Marc Stein",64,38,35,1
"Lukas Kruse",72,349,34,1
"Garry de Graef",62,49,5,1
"Daniel Brinkmann",64,49,8,1
"Pablo Caceres",63,57,30,2
"Christian Weber",65,41,1,1
"Fabian Johnson",78,51,126,1
"Markus Thorandt",65,49,29,1
"Lionel Djebi-Zadi",64,129,4,1
"Jerome Colinet",61,55,2,1
"Andrew Sinkala",66,55,5,1
"Lars Bender",82,44,140,1
"Sven Bender",82,57,127,1
"Jean-Francois Kornetzky",64,316,1,1
"Markus Miller",70,341,24,1
"Florian Dick",69,53,58,1
"Mario Eggimann",66,60,63,1
"Christian Eichner",70,46,88,1
"Martin Stoll",66,61,31,2
"Godfried Aduobe",66,38,11,1
"Giovanni Federico",70,52,11,1
"Michael Mutzel",66,49,17,1
"Timo Staffeldt",66,46,3,1
"Sebastian Freis",68,57,86,1
"Edmond Kapllani",66,60,6,1
"Khalid Boulahrouz",71,50,72,3
"Igor Gabilondo",71,61,33,1
"Javier Martinez",84,45,158,2
"Jose Manuel Jurado",75,52,104,3
"Sergio Aguero",88,59,207,2
"Giourkas Seitaridis",66,55,7,1
"Diego Rivas",64,63,30,1
"Fabio Felicio",68,48,3,1
"Juanito",69,53,44,1
"Claudio Bravo",83,416,207,1
"Abella Perez Damia",71,65,124,1
"Hipolito Poli",62,49,6,1
"Francisco Maldonado",63,50,8,1
"Fernando Vega",66,60,22,1
"Mario Alvarez",73,63,66,1
"Gabriel Tamas",68,47,31,1
"Nene",76,48,129,2
"Iago Bouzon",67,62,18,1
"Diego Rodolfo Placente",66,131,8,1
"Santi Cazorla",85,42,211,2
"Dudu Aouate",70,349,138,1
"Cesar Arzo",70,34,76,2
"Joan Verdu",76,53,178,2
"Alvaro Arbeloa",76,51,150,2
"Sergio Rodri",71,54,7,1
"Cristian Hidalgo",66,52,2,1
"Ivan Sanchez Riki",72,49,69,1
"Pablo Alvarez",63,63,28,1
"Jesus Vazquez",67,56,14,1
"Juan Rodriguez",74,60,159,1
"Duda",73,56,115,1
"Alberto Lopo",72,56,152,1
"Rodolfo Bodipo Diaz",61,57,17,1
"Francisco Rufete",67,64,8,1
"David Cobeno",69,355,26,1
"Francesco Tavano",71,54,33,1
"David Silva",86,5,206,2
"Jaime Gavilan",72,53,75,1
"Anthony Le Tallec",67,55,84,1
"Lucas Matias Licht",70,51,19,1
"Juan Albin",72,49,34,1
"David Cortes",67,35,59,1
"Francisco Javier Casquero",70,45,74,1
"Cosmin Contra",69,53,8,1
"Manu del Moral",72,61,128,1
"Jose Enrique",73,74,126,1
"Nihat Kahveci",76,57,4,1
"Robert Pires",75,47,29,2
"Alexis",75,60,156,1
"Cani",74,51,124,1
"Gerard Pique",85,58,187,1
"Albert Meyong Ze",72,40,36,1
"Juanfran Garcia",72,44,142,1
"Manolo Gaspar,28",63,47,19,1
"Nino",67,49,68,1
"Fernando Varela",65,42,35,1
"Jordi Lopez Felpeto",66,59,13,1
"Ariza Makukula",69,50,5,2
"Javier Portillo",67,48,11,1
"David Generelo",66,54,1,1
"Antonio Filippini",67,45,21,1
"Albano Benjamin Bizzarri",75,374,101,1
"Roberto Soldado",79,55,175,2
"Hector Font",69,63,6,1
"Massimo Paci",70,53,74,1
"Momo",70,58,23,1
"Juan Jesus Calatayud",70,348,18,1
"Gonzalo Colsa",72,64,86,1
"Aleksandar Lukovic",72,37,48,1
"Michele Paolucci",66,37,17,1
"Stefano Guberti",70,60,43,1
"Simone Pesce",67,48,18,1
"Viktor Boudianski",65,50,1,1
"Paolo Zanetti",66,48,17,1
"Salvatore Bocchetti",76,64,52,1
"Marcus Andreasson",62,68,2,1
"Henning Hauger",69,63,1,1
"Luigi Giorgi",67,53,46,1
"Daniele Galloppa",70,55,108,1
"David Pizarro",76,41,146,2
"Carlos Martins",76,55,78,2
"Joao Moutinho",83,69,170,2
"Hugo Almeida",75,63,46,2
"Kevin Phillips",67,55,7,1
"Jean-Alain Boumsong",77,47,41,1
"Guillaume Hoarau",74,5,135,2
"Dimitar Rangelov",69,61,60,2
"Benoit Lesoimier",67,54,74,1
"Johan Cavalli",70,62,74,1
"Javier Saviola",75,55,60,3
"Walid Regragui",67,144,14,1
"Tono",75,379,151,1
"Javier Balboa",69,44,45,1
"Ezequiel Garay",83,60,105,2
"Pedro Lopez",72,64,135,1
"Fernando Amorebieta",72,55,119,2
"Joseba Garmendia",62,47,3,1
"Mane",70,55,121,1
"Roberto",80,392,92,2
"Mario Suarez",78,61,137,3
"Oleguer",72,63,14,1
"Andrea Orlandi",69,49,2,1
"Ludovic Sylvestre",65,60,5,1
"Oriol Riera",72,53,60,1
"Paco Montanes",74,62,37,1
"Ruben",74,371,105,1
"Izidoro Gomez",67,66,10,1
"Juande",68,56,12,2
"Melli",69,53,56,2
"Victoriano Rivas Nano",73,41,45,1
"Tobias Sippel",73,362,36,1
"Josh Simpson",69,44,7,1
"Daniel de Ridder",66,46,54,3
"Sergio Fernandez",71,53,67,1
"Roberto Sousa",69,46,39,1
"Florian Heller",65,39,33,1
"Marco Kurth",62,46,6,1
"Francis Dickoh",63,67,45,3
"Carlos Diogo",66,42,37,1
"Stephen Dobbie",66,65,2,1
"Johan Audel",71,50,63,1
"Nikos Liberopoulos",74,43,23,1
"Jan Vertonghen",82,44,208,2
"Andre Ooijer",67,50,57,2
"Giuseppe Sculli",71,46,99,1
"Ciro Capuano",67,35,81,1
"Kasper Schmeichel",78,399,62,1
"Gary Harkins",66,59,86,1
"Lewis Grabban",69,60,7,1
"Darren Randolph",73,369,115,2
"Edu",74,49,29,1
"Joris Mathijsen",72,47,164,3
"Robbert Schilder",68,48,176,1
"Mathieu Berson",69,142,19,1
"Antonio Tomas",66,43,49,1
"Jan Vennegoor of Hesselink",71,44,30,2
"Obafemi Martins",79,54,47,3
"Nicolas Anelka",77,45,101,1
"Gil Vermouth",67,40,14,1
"Marco Ritzberger",53,116,1,1
"Enar Jaeaeger",66,51,1,1
"Joaquin",79,50,156,2
"Bart Deelkens",64,319,15,1
"Marc Hendrikx",61,46,12,1
"Vilmos Vanczak",65,56,167,1
"Xisco",71,52,15,2
"Frank Boeckx",68,347,18,1
"Jeroen Simaeys",72,56,56,1
"Landry Mulemo",65,53,50,1
"Nicky Hayen",62,43,7,1
"Peter Delorge",65,58,41,1
"Simon Mignolet",78,376,199,2
"Jonathan Soriano",75,43,1,1
"Marc Torrejon Moya",73,50,104,2
"Karel D'Haene",67,59,103,1
"Loris Reina",64,49,10,1
"Bart Buysse",66,53,66,2
"Ludwig van Nieuwenhuyze",66,46,33,1
"Sammy Bossuyt",71,349,147,1
"Stijn Meert",65,53,9,1
"Stijn Minne",64,48,33,1
"Tony Sergeant",64,44,14,1
"Miguel Robuste",64,56,2,1
"Albert Riera",74,37,32,1
"Davino Verhulst",70,354,76,2
"Kristof Lardenoit",63,57,16,1
"Laurent Macquet",61,44,6,1
"Mahamadou Dissa",63,115,8,1
"Gervinho",80,54,166,3
"Dieter van Tornhout",63,49,6,1
"Gunther Vanaudenaerde",65,43,55,1
"Sergiy Serebrennikov",65,51,21,1
"Jorn Vermeulen",63,59,32,1
"Birger Maertens",65,54,85,2
"Daniel Chavez",65,56,10,1
"Elrio van Heerden",67,50,10,1
"Manuel Lara Martinez,26",64,50,16,1
"Glenn Verbauwhede",68,346,45,1
"Gregory Dufer",66,43,30,1
"Jeanvion Yulu-Matondo",63,43,12,2
"Jonathan Blondel",68,66,47,1
"Kevin Roelandts",67,38,27,1
"Koen Daerden",67,44,33,1
"Mannaseh Ishiaku",66,55,13,2
"Mustapha Diallo",71,56,55,1
"Philippe Clement",64,60,45,1
"Stijn Stijnen",69,340,64,1
"Yves Lenaerts",63,318,8,1
"Mustapha Riga",71,46,2,1
"Carmelo Gonzalez",66,49,33,1
"Txomin Nagore",65,46,12,1
"Nacho Perez",72,48,89,1
"Fernandez Aitor Tornavaca,29",63,45,15,1
"Rafael Barber",59,54,13,1
"Ikechukwu Uche",77,59,89,1
"Edgar Alvarez",73,54,56,1
"Francisco Molinero",72,54,15,1
"Jose Antonio Garcia Calvo",74,141,15,1
"Jeff Strasser",61,128,3,1
"Chris Gunter",70,61,22,1
"Kevin Kyle",59,50,45,1
"Hamed Namouchi",63,62,3,2
"Sam Parkin",58,44,28,1
"Mateja Kezman",72,48,9,1
"Mark Stewart",57,48,9,1
"Andre-Pierre Gignac",81,61,172,1
"Anilton",65,37,13,1
"Edwin de Graaf",64,53,69,2
"Habib Bamogo",69,49,31,1
"Jeremy Henin",64,49,9,1
"Claudio Lito",66,40,26,1
"Nicolas Andres Cordova",66,41,3,1
"Adriano Russo",67,50,9,1
"Alejandro Alfaro",71,47,49,1
"Carlos Reina Aranda",69,51,50,1
"David Prieto",61,62,24,1
"Diego Capel",75,51,100,3
"Jose Angel Crespo",70,45,60,3
"Lolo",67,51,96,1
"Marti Soler",66,43,115,1
"Alves Justino Jorge Luiz,28",67,54,25,1
"Thomas Kleine",62,42,21,1
"Andre Mijatovic",64,47,34,1
"Juri Judt",69,35,33,1
"Stephan Schrock",70,59,13,1
"Torsten Oehrl",67,57,29,1
"Christian Timm",63,59,7,1
"Dejan Kelhar",62,45,26,1
"Martin Lanig",72,55,84,1
"Stefan Reisinger",70,58,32,1
"Alexander Iashvili",64,49,11,1
"Boubacar Diarra",64,122,10,1
"Andreas Ibertsberger",68,43,59,1
"Youssef Wasef Mohamad",75,56,84,1
"Jonathan Pitroipa",74,49,119,2
"Wilfried Sanou",68,43,6,1
"Bryan Ruiz",78,41,154,4
"Apoula Edima Edel",76,375,44,1
"Ernest Webnje Nfor",67,53,81,1
"Randall Azofeifa",69,55,21,1
"Ricardo Quaresma",80,56,34,3
"Helder Barbosa",74,60,42,2
"Mark van Bommel",79,48,125,3
"Christophe Gregoire",64,45,10,2
"Damir Mirvic",62,118,9,1
"Dario Smoje",69,144,1,1
"Davy De Beule",63,57,68,2
"Dominic Foley",55,49,23,1
"Guillaume Gillet",76,60,171,2
"Jean Beausejour",73,55,57,1
"Kenny Thompson",65,55,53,1
"Nebojsa Pavlovic",69,66,117,1
"Steve De Ridder",69,63,73,2
"Aristide Bance",70,40,32,1
"Hassan El Mouataz",63,39,24,1
"Jugoslav Lazic",60,301,26,1
"Killan Overmeire",73,37,131,1
"Olivier Doll",67,119,16,1
"Joao Carlos",70,51,34,1
"Mady Saidou Panandetiguiri",64,51,5,1
"Chemcedine El Araichi",64,54,5,1
"Jurgen Sierens",64,311,11,1
"Martijn Monteyne",64,49,99,2
"Maxime Annys",65,61,55,1
"Wouter Biebauw",68,339,49,1
"Emanuel Sarki",63,60,18,2
"Nabil Dirar",75,50,84,2
"Stef Wils",64,33,76,1
"Wouter Corstjens",64,48,59,1
"Yves De Winter",65,319,62,2
"Bernt Evens",63,50,99,1
"Jef Delen",62,50,42,1
"Marc Wagemakers",63,45,23,1
"Michael Modubi",63,39,3,1
"Nico van Kerckhoven",65,137,12,1
"Tom van Imschoot",62,61,17,1
"Wim Mennes",65,56,52,1
"Oleg Iachtchouk",69,57,69,1
"Laurent Delorge",65,47,52,1
"Ariel Ibagaza",75,51,21,1
"Roland Lamah",73,56,67,3
"Sami Allagui",72,58,63,1
"Sebastien Siani",70,45,64,1
"Vadis Odjidja-Ofoe",73,59,83,2
"Andrija Delibasic",72,47,16,1
"Anthony Vanden Borre",70,56,53,3
"Dieumerci Mbokani",78,45,75,4
"Bart Goor",66,44,43,1
"Yoshito Okubo",71,146,1,1
"Cheik Tiote",78,42,145,2
"Jonathan Legear",67,64,33,1
"Braulio",63,50,11,1
"Mark de Man",64,43,3,1
"Mohammed Tchite",68,57,91,2
"Mbark Boussoufa",79,64,46,1
"Nicolas Pareja",77,70,95,1
"Olivier Deschacht",73,48,121,1
"Roland Juhasz",72,57,77,1
"Silvio Proto",75,373,158,1
"Lucas Biglia",81,52,160,2
"Alberto Cifuentes",60,302,12,1
"Juan Arango",75,41,182,2
"Jorge Lopez",66,64,25,2
"Rafita",68,43,23,1
"Mahamadou Habib Habibou",70,45,55,2
"Juanfran",81,57,223,1
"Jordi Codina",70,354,56,1
"Borja Fernandez",72,54,99,1
"Dante",80,51,189,1
"Borja Valero",82,34,240,3
"Damien Lahaye",58,290,7,1
"Fabien Camus",74,51,84,2
"Gregory Christ",65,49,17,1
"Joseph Akpala",70,49,57,2
"Laurent Ciman",77,60,105,1
"Miguel Pallardo",63,53,25,2
"Juanlu",67,54,13,1
"Gonzalo Rodriguez",81,48,206,2
"Diego Forlan",78,42,85,2
"Mariano Damian Barbosa",75,378,2,1
"David Fuster Torrijos",71,46,9,1
"Verza",75,62,86,1
"Manuel Victor",68,64,14,1
"Francisco Farinos",69,59,23,1
"Javier Calleja",68,58,32,1
"Juan Carlos",70,353,7,1
"Xisco Nadal",68,45,9,1
"Christian Vieri",76,113,3,1
"Mido",69,58,20,2
"Maniche",75,48,46,3
"Andrius Velicka",67,51,5,1
"Jim Hamilton",60,132,5,1
"Marcelinho",67,40,6,1
"Andre Bikey",66,52,25,1
"Nano",68,46,16,1
"Sergio Sanchez",67,342,5,1
"Nacho Monreal",80,29,195,2
"Gorka Brit",67,131,3,1
"Javier Flano",67,65,3,1
"Enaut Zubikarai",71,353,30,2
"Nestor Susaeta",68,60,4,1
"Gorka Elustondo",75,62,61,1
"Gorka Larrea Garcia",62,49,1,1
"Jose Javier Barkero",73,58,65,1
"Joseba Llorente",69,45,59,1
"Mikel Saizar",67,336,6,1
"Sergio Boris",64,43,6,1
"Nikola Zigic",64,44,28,2
"Angel Lafita",74,57,133,1
"Jose Movilla",71,50,52,1
"Alberto Zapater",72,55,31,2
"Sergio Garcia",79,51,153,1
"Corona",70,48,76,1
"Benjamin Baltes",62,45,5,1
"Theofanis Gekas",74,65,60,3
"Przemyslaw Trytko",61,68,21,1
"Jonathan Santana",65,47,5,1
"Domingos Alexandre Martins da Costa Alex",68,37,53,1
"Junior Agogo",64,61,9,1
"Stiliyan Petrov",76,49,117,1
"Adil Ramzi",65,47,35,1
"Anthony Stokes",69,53,126,1
"Adam Federici",73,371,27,1
"Marcel Seip",60,48,29,1
"Arnaud Buhler",64,48,113,1
"Frederic Page",58,47,94,1
"Sven Neuhaus",66,312,2,1
"Stefan Aigner",76,58,108,1
"Philipp Heerwagen",63,315,31,1
"Stefan Buck",64,57,2,1
"Jonathan Woodgate",71,47,51,1
"Giuseppe Rossi",78,39,120,2
"Florent Sinama-Pongolle",68,47,48,4
"Manuel Fernandes",79,61,23,1
"Souleymane Diawara",73,42,157,1
"Tommy Smith",66,49,16,1
"Keith Andrews",64,61,55,1
"Mirko Vucinic",79,19,127,1
"Rodrigo Defendi",68,43,25,1
"Johann Vogel",65,60,3,1
"Sebastian Schindzielorz",65,58,2,1
"Giorgi Popkhadze",64,59,16,1
"Richard Socrier",62,45,11,1
"Leandro Cufre",69,52,18,2
"Nathan Doyle",64,39,2,1
"Hermanni Vuorinen",62,51,2,1
"Sebastian Eguren",71,46,65,1
"Ricardo Oliveira",79,59,8,1
"Ricardo Fuller",68,61,57,1
"Daniel Graham",70,53,73,1
"Derek Young",60,46,46,1
"Cristiano Doni",70,47,47,1
"Calum Elliot",63,40,22,1
"Danijel Ljuboja",70,54,53,2
"Jordan Remacle",70,46,64,1
"Oleksandr Iakovenko",70,59,50,3
"Goran Ljubojevic",62,46,1,1
"Jelle Vossen",75,54,89,1
"Wim De Decker",65,62,70,1
"Eric Matoukou",67,43,31,1
"Faris Haroun",65,48,51,1
"Gonzague Vandooren",64,50,19,1
"Hans Cornelis",65,48,104,1
"Kenneth van Goethem",64,46,28,1
"Kevin Vandenbergh",61,54,40,2
"Logan Bailly",66,332,97,3
"Marvin Ogunjimi",66,41,40,2
"Sebastien Pocognoli",75,55,111,4
"Sinan Bolat",69,349,60,1
"Thomas Chatelle",64,36,26,2
"Tom Soetaers",66,45,3,1
"Tomislav Mikulic",64,42,66,2
"Wouter Vrancken",65,48,5,1
"Steed Malbranque",69,48,135,2
"dos Santos Fabio Junior",70,55,12,1
"Stephan Andersen",72,347,56,3
"James Milner",80,5,184,1
"Angelos Charisteas",66,43,11,2
"Liam Miller",63,50,53,2
"Jan Kromkamp",67,34,3,1
"Kevin Kilbane",64,57,32,1
"Carlos Tevez",85,15,163,2
"Javier Mascherano",83,34,206,2
"Niko Kranjcar",75,40,58,1
"Jose Antonio Reyes",79,62,139,2
"Julio Baptista",71,53,51,2
"Pascal Cygan",67,59,1,1
"Amauri",73,35,120,1
"Ervin Skela,30",68,145,21,1
"Wayne Routledge",75,59,128,1
"Ashley Cole",72,47,181,2
"William Gallas",69,48,103,1
"Pascal Chimbonda",61,56,34,1
"DaMarcus Beasley",71,43,9,1
"Arthur Boka",77,63,126,2
"Ze Roberto",74,57,80,1
"Milivoje Novakovic",73,51,93,1
"Chris Eagles",68,58,45,1
"Junichi Inamoto,20",72,143,10,2
"Colin Kazim-Richards",70,63,43,3
"Paul Lawson",62,58,22,1
"Ross Wallace",69,52,1,1
"Miguel Angel de las Cuevas",73,54,124,1
"Carlos Acuna",69,56,3,1
"Cesar Peixoto",69,36,45,1
"Juanma",65,48,20,1
"Pablo Amo",71,133,7,1
"Robert Huth",78,59,214,1
"Shefki Kuqi",63,50,1,1
"Nicolas Timmermans",64,47,48,1
"Nicki Bille Nielsen",69,53,16,3
"Orlando Engelaar",68,56,76,2
"Dragan Mrdja",68,58,23,1
"Cyril Thereau",77,47,157,1
"Lionel Scaloni",65,40,44,2
"Mariano Gonzalez",70,55,11,1
"Paul Constantin Codrea",69,52,48,1
"Marco Di Loreto",73,150,14,1
"Mario Carevic",64,57,33,1
"Mustapha Jarju Alasan",67,56,32,1
"Issiar Dia",72,67,49,1
"Damian Macaluso Rojas",67,115,36,1
"Nathan Goris",61,305,1,1
