"player_name","overall_rating","gk_rating","No_of_Presences","No_of_leagues"
"Miroslav Bozok",63,43,18,1
"Rudolf Urban",57,40,1,1
"Dusan Pernis",65,323,86,1
"Dalibor Pleva",60,47,19,1
"Matej Izvolt",62,52,15,1
"Peter Pekarik",76,58,111,1
"Richard Zajac,28",67,340,21,1
"Kamil Kopunek",65,42,4,1
"Pavol Stano",64,46,41,1
"Krisztian Nemeth",71,56,51,1
"Elvedin Dzinic",63,57,24,2
"Dragan Jelic",63,54,3,1
"Jure Travner",63,59,31,1
"Branko Ilic",68,56,1,1
"Marko Suler",63,36,42,1
"Zlatan Ljubijankic",72,52,46,1
"Kanu",70,49,34,1
"Nicolae Ovidiu Herea",66,60,18,1
"Cristian Sapunaru",70,57,61,2
"Christos Karypidis",63,126,27,1
"Orestis Karnezis",79,391,79,2
"Michalis Sifakis",69,347,7,1
"Tomislav Pacovski",66,318,58,1
"Ioannis Maniatis",73,51,3,1
"Fabian Pawela",61,53,11,1
"Kamil Kuzera",64,53,4,1
"Krzysztof Kotorowski",65,332,13,1
"Pawel Sasin",60,39,4,1
"Blazej Telichowski",62,58,21,1
"Lukasz Madej",65,52,39,1
"Pawel Kieszek",75,374,107,2
"Antoni Lukasiewicz",58,58,7,1
"Jakub Rzezniczak",70,54,52,1
"Maciej Korzym",62,58,28,1
"Wojciech Skaba",59,302,10,1
"Marcin Malinowski",64,52,27,1
"Mariusz Zganiacz",64,51,1,1
"Marcin Wasilewski",72,49,76,2
"Wahan Gevorgyan",62,53,8,1
"Slawomir Peszko",69,61,66,2
"Krzysztof Pilarz",64,320,50,1
"Piotr Celeban",71,51,44,1
"Lukasz Tralka",70,66,63,1
"Sebastian Przyrowski",60,281,3,1
"Radoslaw Cierzniak",66,331,124,2
"Arkadiusz Malarz",65,325,22,1
"Maciej Mielcarz",62,307,1,1
"Jaroslaw Bieniuk",66,57,2,1
"Dawid Kucharski",63,47,7,1
"Tomasz Lisowski",65,48,4,1
"Grzegorz Wojtkowiak",67,52,23,1
"Hubert Wolakiewicz",62,55,44,1
"Filip Burkhardt",58,44,8,1
"Marcin Kikut",62,39,2,1
"Jakub Szmatula",66,337,31,1
"Mateusz Zytko",60,62,26,1
"Pawel Strak",56,42,12,1
"Lukasz Mierzejewski",62,59,43,1
"Lukasz Piszczek",80,57,172,1
"Piotr Polczak",67,58,34,1
"Dawid Plizga",66,51,35,1
"Vejlko Nikitovic",61,70,15,1
"Tomasz Brzyski",69,73,55,1
"Mariusz Pawelec",66,64,40,1
"Dawid Soldecki",61,53,22,1
"Liam Kelly",65,57,79,1
